,角色中文,角色英文,内容中文,内容英文
1,狐狸,Fox,动弹不得，我好像被封印在这张桌子前面了。,I’m stuck… It’s like I’m sealed in front of this table.
2,刺猬,Hedgehog,狐狸，你醒啦？今天不是有猫设计师的新品发布会吗，我以为你会很忙。,"You're awake, Fox? Isn't today the cat designer's big product launch? I thought you'd be busy."
3,狐狸,Fox,我动不了，我必须得离开这里。,I can't move. I need to get out of here.
4,刺猬,Hedgehog,你睡着前，好像要带上托盘去厨房找狮子妈妈。,"Before you fell asleep, you said you were bringing the tray to the kitchen to see Mama Lion."
5,狐狸,Fox,哦对了，厨房提示卡……可是桌上没有更多的卡片了，我该怎么办？,"Oh, right, the kitchen reminder card… But there aren’t any more cards on the table. What should I do?"
6,刺猬,Hedgehog,我个子小，能去你去不了的地方，也能看到你看不到的东西。让我来帮你吧。,I’m small—I can slip into places you can’t and see things you can’t. Let me help you.
7,刺猬,Hedgehog,不行，光太亮了。我只能走在影子里。小狐狸，帮我挡住灯光。,"The light’s too bright—I can only travel in the shadows. Fox, block it for me!"
8,刺猬,Hedgehog,太棒了！这样是不是就行了？,Wonderful! Will this work now?
9,狐狸,Fox,如果是拿给狮子妈妈的话，我还有一件礼物想拿给她，最适合摆到就餐区了。啊……在墙上，小刺猬你能帮帮我吗？,"If this is for Mama Lion, I want to give her something special. It would look perfect in the dining area. Ah... it's on the wall. Can you help me, Hedgehog?"
10,刺猬,Hedgehog,好呀，是什么？,Sure! What is it?
11,狐狸,Fox,是很多年前狮子妈妈的厨艺奖章。啊……它在墙上，小刺猬你能帮帮我吗？,"It’s the cooking medal Lioness Mother won, many years ago. Ah… look, it’s on the wall. Can you help me, Hedgehog?"
12,刺猬,Hedgehog,我上不去啊……但是也许可以借助影子的魔法。,I can’t reach it... but maybe we can use shadow magic.
13,狐狸,Fox,什么是影子的魔法？,Shadow magic? What do you mean?
14,刺猬,Hedgehog,把影子投射到墙面上后，会召唤出来并不存在的事物……你试试用书，搭成台阶？,Shadows can create things that aren’t really there... Try using books to make some steps?
15,刺猬,Hedgehog,对，就是这样！有了影子召唤出的台阶，我就不用再害怕灯光了。,"Yes—that’s it! On the steps born of shadow, the light can’t frighten me anymore."
16,刺猬,Hedgehog,空间在流转，快拿起托盘！,"The space is shifting—quick, grab the tray!"
